frame# 1    1822944988 []
frame# 52   1822946688 [(616, 469, 0, 4), (641, 468, 1, 4), (661, 475, 2, 5), (597, 478, 1, 4), (678, 491, 2, 5), (577, 494, 2, 6), (688, 512, 2, 5), (569, 515, 2, 5), (691, 538, 1, 4), (569, 544, 0, 4), (682, 561, 1, 4), (580, 561, 2, 4), (666, 578, 1, 4), (597, 581, 1, 4), (617, 586, 2, 5), (644, 588, 1, 4)]
frame# 53   1822946722 [(640, 468, 1, 5), (615, 471, 0, 4), (661, 475, 2, 5), (597, 479, 1, 4), (678, 492, 2, 5), (577, 495, 2, 5), (569, 516, 2, 5), (688, 515, 2, 5), (691, 540, 1, 4), (568, 545, 0, 4), (580, 561, 2, 4), (683, 563, 1, 4), (598, 581, 1, 4), (665, 579, 1, 5), (618, 587, 2, 5), (644, 589, 1, 4)]
frame# 54   1822946755 [(640, 470, 1, 4), (616, 472, 0, 4), (662, 476, 2, 5), (596, 479, 1, 4), (578, 495, 2, 6), (679, 493, 2, 5), (688, 514, 2, 5), (569, 515, 2, 4), (691, 541, 1, 4), (568, 546, 0, 3), (579, 563, 2, 5), (684, 563, 1, 4), (665, 580, 1, 4), (598, 583, 1, 4), (617, 588, 2, 5), (645, 591, 1, 4)]
frame# 55   1822946788 [(641, 470, 1, 4), (616, 472, 0, 4), (596, 479, 1, 4), (662, 477, 2, 5), (578, 495, 2, 5), (678, 494, 2, 5), (688, 516, 2, 6), (569, 516, 2, 4), (691, 541, 1, 4), (568, 545, 0, 4), (579, 563, 2, 6), (683, 563, 1, 5), (665, 580, 1, 5), (598, 582, 1, 3), (618, 588, 2, 5), (645, 589, 1, 4)]
frame# 56   1822946822 [(616, 472, 0, 4), (641, 470, 1, 4), (596, 478, 1, 4), (662, 477, 2, 6), (578, 495, 2, 5), (679, 494, 2, 5), (688, 516, 2, 6), (569, 516, 2, 4), (691, 541, 1, 4), (568, 545, 0, 4), (579, 563, 2, 5), (683, 563, 1, 4), (665, 580, 1, 5), (598, 583, 1, 4), (618, 588, 2, 5), (644, 590, 1, 4)]
frame# 57   1822946855 [(641, 470, 1, 4), (616, 472, 0, 4), (596, 478, 1, 4), (662, 476, 2, 5), (578, 495, 2, 5), (679, 494, 2, 5), (688, 515, 2, 6), (569, 516, 2, 5), (691, 541, 1, 4), (568, 546, 0, 4), (579, 563, 2, 5), (683, 563, 1, 4), (665, 581, 1, 4), (598, 583, 1, 4), (617, 587, 2, 5), (644, 591, 1, 4)]
frame# 58   1822946888 [(640, 470, 1, 4), (616, 472, 0, 4), (662, 476, 2, 5), (596, 478, 1, 4), (578, 495, 2, 6), (678, 493, 2, 5), (688, 514, 2, 5), (569, 516, 2, 5), (690, 541, 1, 4), (568, 546, 0, 4), (579, 563, 2, 5), (682, 562, 1, 4), (597, 582, 1, 4), (664, 581, 1, 4), (618, 587, 2, 5), (645, 591, 1, 4)]
frame# 59   1822946922 [(640, 470, 1, 4), (615, 472, 0, 4), (660, 476, 2, 6), (596, 480, 1, 5), (577, 495, 2, 6), (678, 493, 2, 4), (687, 515, 2, 5), (569, 516, 2, 5), (689, 541, 1, 4), (568, 545, 0, 4), (681, 561, 1, 4), (578, 563, 2, 5), (664, 579, 1, 4), (596, 582, 1, 4), (618, 587, 2, 6), (643, 590, 1, 5)]
frame# 60   1822946955 [(640, 469, 1, 4), (615, 472, 0, 4), (660, 476, 2, 6), (596, 480, 1, 4), (578, 495, 2, 6), (678, 493, 2, 5), (687, 515, 2, 5), (568, 516, 2, 5), (689, 541, 1, 4), (568, 545, 0, 4), (681, 562, 1, 5), (579, 562, 2, 5), (664, 579, 1, 4), (597, 583, 1, 4), (618, 587, 2, 5), (643, 591, 1, 5)]
frame# 61   1822946988 [(640, 470, 1, 4), (616, 472, 0, 4), (661, 477, 2, 5), (596, 480, 1, 4), (577, 495, 2, 6), (678, 494, 2, 5), (687, 515, 2, 6), (569, 516, 2, 4), (690, 541, 1, 4), (568, 546, 0, 4), (579, 563, 2, 5), (681, 562, 1, 4), (665, 580, 1, 5), (597, 583, 1, 4), (617, 587, 2, 5), (644, 590, 1, 5)]
frame# 62   1822947022 [(641, 470, 1, 4), (616, 472, 0, 4), (596, 480, 1, 5), (662, 478, 2, 5), (578, 495, 2, 5), (678, 494, 2, 6), (687, 516, 2, 6), (569, 516, 2, 4), (690, 542, 1, 4), (568, 546, 0, 4), (579, 563, 2, 5), (682, 563, 1, 4), (597, 581, 1, 4), (666, 580, 1, 5), (618, 588, 2, 5), (644, 590, 1, 4)]
frame# 63   1822947055 [(618, 588, 2, 6), (644, 590, 1, 4), (616, 472, 0, 4), (641, 470, 1, 4), (596, 481, 1, 5), (661, 478, 2, 5), (577, 495, 2, 5), (678, 495, 2, 5), (687, 516, 2, 6), (570, 517, 2, 5), (690, 543, 1, 4), (568, 546, 0, 4), (579, 563, 2, 5), (683, 564, 1, 4), (666, 580, 1, 4), (597, 582, 1, 4)]
frame# 64   1822947088 [(616, 472, 0, 4), (641, 469, 1, 4), (662, 478, 2, 5), (597, 482, 1, 4), (577, 495, 2, 5), (678, 494, 2, 5), (687, 516, 2, 6), (569, 516, 2, 4), (690, 542, 1, 4), (568, 546, 0, 4), (579, 563, 2, 5), (682, 563, 1, 4), (665, 580, 1, 5), (597, 582, 1, 4), (618, 588, 2, 5), (644, 590, 1, 4)]
frame# 65   1822947122 [(641, 470, 1, 4), (616, 472, 0, 4), (595, 480, 1, 4), (661, 478, 2, 5), (578, 495, 2, 5), (678, 495, 2, 6), (687, 515, 2, 5), (569, 516, 2, 4), (690, 541, 1, 4), (568, 546, 0, 3), (579, 563, 2, 5), (683, 563, 1, 4), (665, 580, 1, 5), (598, 583, 1, 4), (617, 587, 2, 5), (644, 590, 1, 4)]
frame# 66   1822947155 [(641, 470, 1, 4), (616, 472, 0, 4), (596, 479, 1, 4), (662, 477, 2, 6), (578, 495, 2, 5), (680, 494, 2, 5), (688, 515, 2, 5), (570, 516, 2, 5), (691, 541, 1, 5), (568, 545, 0, 4), (579, 564, 2, 6), (684, 563, 1, 4), (667, 582, 1, 4), (598, 583, 1, 4), (618, 587, 2, 5), (645, 589, 1, 4)]
frame# 67   1822947188 [(643, 470, 1, 4), (616, 472, 0, 4), (662, 478, 2, 6), (597, 481, 1, 4), (579, 495, 2, 5), (680, 494, 2, 5), (689, 515, 2, 6), (570, 517, 2, 5), (692, 541, 1, 5), (568, 545, 0, 4), (580, 564, 2, 5), (684, 564, 1, 4), (666, 580, 1, 5), (599, 582, 1, 4), (620, 588, 2, 5), (645, 590, 1, 4)]
